X,Y,INDEX_,ACCNUM,YEAR,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,WARDNUM,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,ObjectId
-8838054.01104994,5421742.74917823,7559316,1287084,2012,2012/04/03 04:00:00+00,230,MOUNT PLEASANT RD,STIBBARD AVE,,Major Arterial,North York,15,43.716945,-79.39359,Intersection,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Other Property Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,99,Mount Pleasant East,99,Mount Pleasant East (99),D53,11
-8862528.93693473,5426106.07210291,80943320,8000372713,2018,2018/02/27 05:00:00+00,2128,ALBION RD,CARRIER DR,50 m East of,Major Arterial,Etobicoke York,1,43.745268,-79.613452,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Rear End,Driver,30 to 34,Major,,West,"Automobile, Station Wagon",Stopped,Following too Close,"Ability Impaired, Alcohol",,,,,,,,,Yes,,,,,,,Yes,,Yes,,1,West Humber-Clairville,1,West Humber-Clairville (1),D23,12
-8824103.22982474,5417506.33976353,7422373,1297456,2012,2012/04/07 04:00:00+00,2043,KINGSTON RD,VALHALLA BLVD,,Major Arterial,Scarborough,20,43.689433,-79.268268,Intersection,At Intersection,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Turning Movement,Motorcycle Driver,30 to 34,Major,,East,Motorcycle,Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,Yes,,,,,,Yes,,Yes,,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),D41,13
-8839434.37273577,5411798.45328412,5393288,1053246,2008,2008/07/19 04:00:00+00,1744,BATHURST ST,DUNDAS ST W,,Major Arterial,Toronto and East York,1110,43.652345,-79.40599,Intersection,At Intersection,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Turning Movement,Driver,25 to 29,None,,North,"Automobile, Station Wagon",Turning Left,Improper Turn,"Ability Impaired, Alcohol",,,,,,,,,Yes,Yes,,,,,,,,Yes,,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D14,14
-8829728.09237504,5419070.89934805,3389067,893184,2006,2006/01/01 05:00:00+00,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,19,43.699595,-79.318797,Intersection,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,50 to 54,Major,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,15
-8838562.51848388,5412697.30991304,80875494,8000471582,2018,2018/03/15 04:00:00+00,226,COLLEGE ST,HURON ST,,Major Arterial,Toronto and East York,11,43.658187,-79.398158,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Driver,15 to 19,None,,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,"Ability Impaired, Alcohol Over .08",,,,,,,Yes,,Yes,,,,,,Yes,Yes,,Yes,,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D52,16
-8824103.22982474,5417506.33976353,7422374,1297456,2012,2012/04/07 04:00:00+00,2043,KINGSTON RD,VALHALLA BLVD,,Major Arterial,Scarborough,20,43.689433,-79.268268,Intersection,At Intersection,No Control,Clear,"Dusk, artificial",Dry,Non-Fatal Injury,Turning Movement,Driver,50 to 54,None,,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,"Ability Impaired, Alcohol",,,,,,,,,Yes,Yes,,,,,,Yes,,Yes,,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),D41,17
-8835527.05860893,5411167.6749302,5388635,1051130,2008,2008/07/31 04:00:00+00,2245,LOWER JARVIS ST,THE ESPLANADE,,Major Arterial,Toronto and East York,1013,43.648245,-79.37089,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),D51,18
-8838562.51848388,5412697.30991304,80875495,8000471582,2018,2018/03/15 04:00:00+00,226,COLLEGE ST,HURON ST,,Major Arterial,Toronto and East York,11,43.658187,-79.398158,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Fatal,Pedestrian Collisions,Pedestrian,20 to 24,Fatal,15,West,,,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,Yes,Yes,,Yes,,78,Kensington-Chinatown,78,Kensington-Chinatown (78),D52,19
-8829728.09237504,5419070.89934805,3389068,893184,2006,2006/01/01 05:00:00+00,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,19,43.699595,-79.318797,Intersection,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,20
-8843453.00635341,5429971.05327211,7404649,1289788,2012,2012/04/18 04:00:00+00,2310,BATHURST ST,MASCOT PL,,Major Arterial,North York,618,43.770345,-79.44209,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,35 to 39,None,,South,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,"Ability Impaired, Alcohol",,,,,,,Yes,,Yes,,,,,,,Yes,,Yes,,37,Willowdale West,37,Willowdale West (37),D32,21
-8829728.09237504,5419070.89934805,3389069,893184,2006,2006/01/01 05:00:00+00,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,19,43.699595,-79.318797,Intersection,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Driver,55 to 59,Minor,,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,22
-8835527.05860893,5411167.6749302,5388636,1051130,2008,2008/07/31 04:00:00+00,2245,LOWER JARVIS ST,THE ESPLANADE,,Major Arterial,Toronto and East York,1013,43.648245,-79.37089,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Driver,55 to 59,None,,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol Over .08",,,,,,,,Yes,Yes,,,,,,,Yes,Yes,Yes,,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),D51,23
-8848035.6958309,5424027.29365418,81450009,8000509644,2018,2018/03/21 04:00:00+00,232,KEELE ST,WANDLE AVE,45 m North of,Major Arterial,North York,6,43.731776,-79.483257,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Sideswipe,Driver,35 to 39,Major,,North,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol",,,,,,,,,Yes,,,,,,Yes,Yes,,Yes,,155,Downsview,26,Downsview-Roding-CFB (26),D31,24
-8829728.09237504,5419070.89934805,3389070,893184,2006,2006/01/01 05:00:00+00,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,19,43.699595,-79.318797,Intersection,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,25
-8843453.00635341,5429971.05327211,7404650,1289788,2012,2012/04/18 04:00:00+00,2310,BATHURST ST,MASCOT PL,,Major Arterial,North York,618,43.770345,-79.44209,Intersection,At Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,85 to 89,Major,,West,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Medical or Physical Disability,,,,Yes,,Yes,,,,,,,Yes,,Yes,,37,Willowdale West,37,Willowdale West (37),D32,26
-8829728.09237504,5419070.89934805,3389071,893184,2006,2006/01/01 05:00:00+00,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,19,43.699595,-79.318797,Intersection,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,15 to 19,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,27
-8835527.05860893,5411167.6749302,5388637,1051130,2008,2008/07/31 04:00:00+00,2245,LOWER JARVIS ST,THE ESPLANADE,,Major Arterial,Toronto and East York,1013,43.648245,-79.37089,Intersection,At Intersection,Traffic Signal,Clear,Dark,Dry,Non-Fatal Injury,Cyclist Collisions,Cyclist,50 to 54,Major,,North,Bicycle,Turning Left,,,,,,Cyclist turned left across motorists path.,Driving Properly,Normal,,Yes,Yes,,,,,,,Yes,Yes,Yes,,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),D51,28
-8848035.6958309,5424027.29365418,81450010,8000509644,2018,2018/03/21 04:00:00+00,232,KEELE ST,WANDLE AVE,45 m North of,Major Arterial,North York,6,43.731776,-79.483257,Mid-Block,Non Intersection,No Control,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Sideswipe,Driver,35 to 39,None,,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,Yes,Yes,,Yes,,155,Downsview,26,Downsview-Roding-CFB (26),D31,29
-8833890.66209427,5424561.73472315,7429755,1300655,2012,2012/04/29 04:00:00+00,2115,LESLIE ST,LAWRENCE AVE E,,Major Arterial,North York,1516,43.735245,-79.35619,Mid-Block,,No Control,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,None,,North,"Automobile, Station Wagon",Making U Turn,Improper Turn,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,,,Yes,,Yes,,42,Banbury-Don Mills,42,Banbury-Don Mills (42),D33,30
-8829728.09237504,5419070.89934805,3389072,893184,2006,2006/01/01 05:00:00+00,236,WOODBINE AVE,O CONNOR DR,,Major Arterial,Toronto and East York,19,43.699595,-79.318797,Intersection,Intersection Related,No Control,Clear,Dark,Wet,Non-Fatal Injury,Approaching,Passenger,20 to 24,Minor,,,,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,60,Woodbine-Lumsden,60,Woodbine-Lumsden (60),D55,31
-8814198.24417294,5430633.95154381,5389224,1051391,2008,2008/08/01 04:00:00+00,2110,KINGSTON RD,ORCHARD PARK DR,,Major Arterial,Scarborough,25,43.774645,-79.17929,Intersection,,Stop Sign,Clear,Dark,Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,15 to 19,None,,West,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,"Ability Impaired, Alcohol",,,,,,,Yes,,Yes,,,,,Yes,Yes,Yes,,Yes,,136,West Hill,136,West Hill (136),D43,32
-8851332.64518972,5403595.54167937,80877068,8000879182,2018,2018/05/15 04:00:00+00,2237,LAKE SHORE BLVD W,THIRTEENTH ST,,Major Arterial,Etobicoke York,3,43.599005,-79.512874,Intersection,Intersection Related,No Control,,Dark,,Fatal,Sideswipe,Driver,20 to 24,None,,East,"Automobile, Station Wagon",Changing Lanes,Improper Lane Change,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,18,New Toronto,18,New Toronto (18),D22,33
-8833890.66209427,5424561.73472315,7429756,1300655,2012,2012/04/29 04:00:00+00,2115,LESLIE ST,LAWRENCE AVE E,,Major Arterial,North York,1516,43.735245,-79.35619,Mid-Block,,No Control,Clear,Dark,Dry,Non-Fatal Injury,Turning Movement,Driver,45 to 49,Major,,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,Yes,,Yes,,42,Banbury-Don Mills,42,Banbury-Don Mills (42),D33,34
-8825831.13096084,5430387.28615378,7411365,1292618,2012,2012/05/05 04:00:00+00,332,KENNEDY RD,WILLIAM KITCHEN RD,,Major Arterial,Scarborough,21,43.773045,-79.28379,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Motorcycle Driver,35 to 39,Major,,East,Motorcycle,Going Ahead,Disobeyed Traffic Control,Normal,,,,,,,,,Yes,Yes,,,,,,Yes,Yes,Yes,,126,Dorset Park,126,Dorset Park (126),D41,35
-8825831.13096084,5430387.28615378,7411366,1292618,2012,2012/05/05 04:00:00+00,332,KENNEDY RD,WILLIAM KITCHEN RD,,Major Arterial,Scarborough,21,43.773045,-79.28379,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Angle,Driver,55 to 59,None,,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,Yes,,,,,,Yes,Yes,Yes,,126,Dorset Park,126,Dorset Park (126),D41,36
-8847148.81344775,5418616.68479179,7527656,1307651,2012,2012/07/29 04:00:00+00,1912,KEELE ST,CANON JACKSON DR,,Major Arterial,Etobicoke York,5,43.696645,-79.47529,Intersection,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Motorcycle Driver,30 to 34,Major,,North,Motorcycle,Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol",,,,,,,,,Yes,Yes,,,,,Yes,Yes,,Yes,,112,Beechborough-Greenbrook,112,Beechborough-Greenbrook (112),D12,37
-8847148.81344775,5418616.68479179,7527657,1307651,2012,2012/07/29 04:00:00+00,1912,KEELE ST,CANON JACKSON DR,,Major Arterial,Etobicoke York,5,43.696645,-79.47529,Intersection,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,Yes,,112,Beechborough-Greenbrook,112,Beechborough-Greenbrook (112),D12,38
-8847148.81344775,5418616.68479179,7527658,1307651,2012,2012/07/29 04:00:00+00,1912,KEELE ST,CANON JACKSON DR,,Major Arterial,Etobicoke York,5,43.696645,-79.47529,Intersection,,Traffic Signal,Clear,Daylight,Dry,Non-Fatal Injury,Rear End,Driver,35 to 39,Minimal,,North,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,Yes,,,,,Yes,Yes,,Yes,,112,Beechborough-Greenbrook,112,Beechborough-Greenbrook (112),D12,39
-8833066.8978624,5417508.18714852,7475181,1319682,2012,2012/09/01 04:00:00+00,36,PAPE AVE,COSBURN AVE,,Major Arterial,Toronto and East York,14,43.689445,-79.34879,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Driver,20 to 24,None,,North,"Automobile, Station Wagon",Going Ahead,Failed to Yield Right of Way,"Ability Impaired, Alcohol",,,,,,,Yes,,Yes,,,,,,,Yes,,Yes,,58,Old East York,58,Old East York (58),D55,40
-8833066.8978624,5417508.18714852,7475182,1319682,2012,2012/09/01 04:00:00+00,36,PAPE AVE,COSBURN AVE,,Major Arterial,Toronto and East York,14,43.689445,-79.34879,Intersection,At Intersection,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,Pedestrian Collisions,Pedestrian,25 to 29,Major,,North,Other,,,,Vehicle is going straight thru inter.while ped cross with ROW,Crossing with right of way,Had Been Drinking,,,,Yes,,Yes,,,,,,,Yes,,Yes,,58,Old East York,58,Old East York (58),D55,41
-8841606.43864013,5408989.51294943,7515524,1321409,2012,2012/09/16 04:00:00+00,138,DUFFERIN St,SPRINGHURST Ave,,Local,Toronto and East York,410,43.634085,-79.425502,Mid-Block,,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,Yes,,163,Fort York-Liberty Village,82,Niagara (82),D14,42
-8841606.43864013,5408989.51294943,7515525,1321409,2012,2012/09/16 04:00:00+00,138,DUFFERIN St,SPRINGHURST Ave,,Local,Toronto and East York,410,43.634085,-79.425502,Mid-Block,,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Driver,35 to 39,Minimal,,North,"Automobile, Station Wagon",Going Ahead,Lost control,"Ability Impaired, Alcohol",,,,,,,,,Yes,,,,,Yes,,Yes,,Yes,,163,Fort York-Liberty Village,82,Niagara (82),D14,43
-8841606.43864013,5408989.51294943,7515526,1321409,2012,2012/09/16 04:00:00+00,138,DUFFERIN St,SPRINGHURST Ave,,Local,Toronto and East York,410,43.634085,-79.425502,Mid-Block,,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Passenger,40 to 44,Major,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,Yes,,163,Fort York-Liberty Village,82,Niagara (82),D14,44
-8841606.43864013,5408989.51294943,7515527,1321409,2012,2012/09/16 04:00:00+00,138,DUFFERIN St,SPRINGHURST Ave,,Local,Toronto and East York,410,43.634085,-79.425502,Mid-Block,,Traffic Signal,Clear,"Dark, artificial",Dry,Non-Fatal Injury,SMV Other,Other Property Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,Yes,,163,Fort York-Liberty Village,82,Niagara (82),D14,45
-8851701.22402374,5419156.04781824,7484785,1323691,2012,2012/09/21 04:00:00+00,152,WESTON Rd,LAWRENCE Ave W,,Major Arterial,Etobicoke York,5,43.700148,-79.516185,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Driver,30 to 34,Minor,,South,"Automobile, Station Wagon",Going Ahead,Disobeyed Traffic Control,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,113,Weston,113,Weston (113),D12,46
-8851701.22402374,5419156.04781824,7484786,1323691,2012,2012/09/21 04:00:00+00,152,WESTON Rd,LAWRENCE Ave W,,Major Arterial,Etobicoke York,5,43.700148,-79.516185,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Other Property Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,113,Weston,113,Weston (113),D12,47
-8851701.22402374,5419156.04781824,7484787,1323691,2012,2012/09/21 04:00:00+00,152,WESTON Rd,LAWRENCE Ave W,,Major Arterial,Etobicoke York,5,43.700148,-79.516185,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,113,Weston,113,Weston (113),D12,48
-8851701.22402374,5419156.04781824,7484788,1323691,2012,2012/09/21 04:00:00+00,152,WESTON Rd,LAWRENCE Ave W,,Major Arterial,Etobicoke York,5,43.700148,-79.516185,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Angle,Driver,40 to 44,Major,,East,"Automobile, Station Wagon",Going Ahead,Driving Properly,Normal,,,,,,,,,Yes,,,,,,,Yes,Yes,Yes,,113,Weston,113,Weston (113),D12,49
-8829215.13216146,5435769.01959865,7515508,1321216,2012,2012/10/21 04:00:00+00,325,MCNICOLL AVE,BIRCHMOUNT RD,,Minor Arterial,Scarborough,22,43.807944,-79.314189,Mid-Block,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Passenger,20 to 24,Fatal,36,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,116,Steeles,116,Steeles (116),D42,50
-8829215.13216146,5435769.01959865,7515509,1321216,2012,2012/10/21 04:00:00+00,325,MCNICOLL AVE,BIRCHMOUNT RD,,Minor Arterial,Scarborough,22,43.807944,-79.314189,Mid-Block,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Vehicle Owner,unknown,,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,116,Steeles,116,Steeles (116),D42,51
-8829215.13216146,5435769.01959865,7515510,1321216,2012,2012/10/21 04:00:00+00,325,MCNICOLL AVE,BIRCHMOUNT RD,,Minor Arterial,Scarborough,22,43.807944,-79.314189,Mid-Block,At Intersection,No Control,Clear,"Dark, artificial",Dry,Fatal,SMV Other,Driver,20 to 24,Minor,,East,"Automobile, Station Wagon",Going Ahead,Exceeding Speed Limit,"Ability Impaired, Alcohol Over .08",,,,,,,,,Yes,,,,,Yes,Yes,Yes,,Yes,,116,Steeles,116,Steeles (116),D42,52
-8827422.99967918,5431620.67910722,7529363,1325621,2012,2012/11/12 05:00:00+00,2004,SHEPPARD AVE E,BIRCHMOUNT RD,,Major Arterial,Scarborough,22,43.781045,-79.29809,Intersection,At Intersection,Traffic Signal,Rain,"Dark, artificial",Wet,Non-Fatal Injury,Turning Movement,Passenger,75 to 79,Major,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,Yes,,118,Tam O'Shanter-Sullivan,118,Tam O'Shanter-Sullivan (118),D42,53
