_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,OBJECTID,GEO_ID,NODE_ID,MI_PRINX,geometry,LONGITUDE,LATITUDE
13,5049,DUNDAS ST E,None,HIGHFIELD RD,None,None,None,2497,1142368,13463742.0,2497,"{""type"": ""Point"", ""coordinates"": [-79.32348099456865, 43.66773800068897]}",-79.32348099456865,43.66773800068897
14,5050,DUNDAS ST W,25m NORTH OF,HUMBERSIDE AVE,None,None,None,2498,2215085,,2498,"{""type"": ""Point"", ""coordinates"": [-79.45673100610047, 43.663227999448495]}",-79.45673100610047,43.663227999448495
15,5051,DUNDAS ST W,None,INDIAN ROAD CRES,None,None,None,2499,30105836,13464480.0,2499,"{""type"": ""Point"", ""coordinates"": [-79.46105199453943, 43.665175003806304]}",-79.46105199453943,43.665175003806304
16,5054,DUNDAS ST E,None,MAUGHAN CRES,None,None,None,2500,2426341,30097145.0,2500,"{""type"": ""Point"", ""coordinates"": [-79.3137540006643, 43.669312003478616]}",-79.3137540006643,43.669312003478616
17,5057,DUNDAS ST E,None,PEMBROKE ST,None,None,None,2501,7649768,13465390.0,2501,"{""type"": ""Point"", ""coordinates"": [-79.37238899477016, 43.65816999770986]}",-79.37238899477016,43.65816999770986
18,5065,ANNETTE ST,None,INDIAN ROAD CRES,None,None,None,2502,14013995,13464684.0,2502,"{""type"": ""Point"", ""coordinates"": [-79.46115300247516, 43.66377000117933]}",-79.46115300247516,43.66377000117933
19,5075,JANE ST,None,COLBECK ST,None,None,None,2503,7274546,13466476.0,2503,"{""type"": ""Point"", ""coordinates"": [-79.48597399550839, 43.65294700189398]}",-79.48597399550839,43.65294700189398
20,5077,JANE ST,45m SOUTH OF,PAGE AVE,None,None,RUNNYMEDE COLLEGIATE,2504,9402,,2504,"{""type"": ""Point"", ""coordinates"": [-79.49036999891773, 43.66373299880212]}",-79.49036999891773,43.66373299880212
21,5078,JANE ST,None,FOLKES ST,None,None,ST PIUS X CATHOLIC SCHOOL,2505,7950623,13466805.0,2505,"{""type"": ""Point"", ""coordinates"": [-79.4851350057372, 43.65090699892952]}",-79.4851350057372,43.65090699892952
22,5079,KEELE ST,None,AVON DR,HOLWOOD AVE,None,None,2506,8140611,,2506,"{""type"": ""Point"", ""coordinates"": [-79.47430899916908, 43.688422004166135]}",-79.47430899916908,43.688422004166135
23,5087,KINGSTON RD,None,LEE AVE,None,None,None,2507,1140430,13461875.0,2507,"{""type"": ""Point"", ""coordinates"": [-79.30118100134275, 43.67812600251433]}",-79.30118100134275,43.67812600251433
24,5088,KINGSTON RD,None,MANDERLEY DR,None,None,None,2508,113111,13459819.0,2508,"{""type"": ""Point"", ""coordinates"": [-79.26921400083955, 43.68890300042132]}",-79.26921400083955,43.68890300042132
25,5121,PAPE AVE,None,ALDWYCH AVE,None,None,None,2509,7570184,13460996.0,2509,"{""type"": ""Point"", ""coordinates"": [-79.34661100367518, 43.68358900077923]}",-79.34661100367518,43.68358900077923
26,5123,PAPE AVE,None,TORRENS AVE,None,None,None,2510,3232728,13459590.0,2510,"{""type"": ""Point"", ""coordinates"": [-79.34955099965222, 43.69136699886244]}",-79.34955099965222,43.69136699886244
27,5128,SCARLETT RD,None,BERNICE CRES,None,None,None,2511,9334,13464273.0,2511,"{""type"": ""Point"", ""coordinates"": [-79.49955200219716, 43.66690499788459]}",-79.49955200219716,43.66690499788459
28,5136,SOUTH KINGSWAY,None,ORMSKIRK AVE,None,None,None,2512,7632468,13468464.0,2512,"{""type"": ""Point"", ""coordinates"": [-79.4767509941904, 43.638829003231706]}",-79.4767509941904,43.638829003231706
29,5137,ST CLAIR AVE E,45m WEST OF,CLIFTON RD,None,None,None,2513,1139238,,2513,"{""type"": ""Point"", ""coordinates"": [-79.38485999877734, 43.69003700364019]}",-79.38485999877734,43.69003700364019
30,5145,MARLEE AVE,None,ELWAY CRT,None,None,None,2514,9246526,13456273.0,2514,"{""type"": ""Point"", ""coordinates"": [-79.4452080019291, 43.71244899887258]}",-79.4452080019291,43.71244899887258
31,5146,THE DONWAY E,None,MALLOW RD,None,None,None,2515,442270,13451690.0,2515,"{""type"": ""Point"", ""coordinates"": [-79.3430540042655, 43.74080199955335]}",-79.3430540042655,43.74080199955335
32,5147,ANNETTE ST,None,WILLARD AVE,None,None,None,2516,7979909,13465522.0,2516,"{""type"": ""Point"", ""coordinates"": [-79.48528600039228, 43.65886499867442]}",-79.48528600039228,43.65886499867442
33,5148,ANSON AVE,None,NICOLAN RD,None,None,WALKWAY TO ANSON PARK P.S.,2517,111622,13453960.0,2517,"{""type"": ""Point"", ""coordinates"": [-79.24046699769879, 43.72495000313258]}",-79.24046699769879,43.72495000313258
34,5150,THE EAST MALL,None,REDCAR AVE,None,None,SAINT ELIZABETH CATHOLIC SCHOOL,2518,912633,13468907.0,2518,"{""type"": ""Point"", ""coordinates"": [-79.55671399527088, 43.63545399576936]}",-79.55671399527088,43.63545399576936
35,5152,ASHBOURNE DR,None,MATTICE AVE,None,None,None,2519,9531202,13467789.0,2519,"{""type"": ""Point"", ""coordinates"": [-79.54442200335745, 43.645293995519495]}",-79.54442200335745,43.645293995519495
36,5154,WESTON RD,None,OXFORD DR,None,None,None,2520,10636492,13460565.0,2520,"{""type"": ""Point"", ""coordinates"": [-79.49202000483139, 43.687921997978506]}",-79.49202000483139,43.687921997978506
37,5158,AUGUSTA AVE,120m NORTH OF,WOLSELEY ST,None,None,None,2521,30063382,,2521,"{""type"": ""Point"", ""coordinates"": [-79.40041399768337, 43.64998600135506]}",-79.40041399768337,43.64998600135506
38,5160,BARRHEAD CRES,None,REDCLIFF BLVD,None,None,MISSISSAUGA PRIVATE SCHOOL,2522,9668797,13455386.0,2522,"{""type"": ""Point"", ""coordinates"": [-79.56694500124713, 43.719488999561875]}",-79.56694500124713,43.719488999561875
39,5162,BAY MILLS BLVD,150m EAST OF,EAGLESTONE RD,None,None,#325 BAY MILLS BLVD,2523,106992,,2523,"{""type"": ""Point"", ""coordinates"": [-79.30173799592754, 43.78252500096235]}",-79.30173799592754,43.78252500096235
40,5163,HUNTINGWOOD DR,None,DUNMURRAY BLVD,None,None,None,2524,30000650,30000649.0,2524,"{""type"": ""Point"", ""coordinates"": [-79.30662799488354, 43.78937900151103]}",-79.30662799488354,43.78937900151103
41,5164,HUNTINGWOOD DR,None,HARFLEUR RD,None,None,None,2525,106073,13444507.0,2525,"{""type"": ""Point"", ""coordinates"": [-79.29938300023811, 43.79110999837762]}",-79.29938300023811,43.79110999837762
42,5165,HUNTINGWOOD DR,None,KILKENNY DR,None,None,None,2526,30089904,13445511.0,2526,"{""type"": ""Point"", ""coordinates"": [-79.3173079943004, 43.783489004177405]}",-79.3173079943004,43.783489004177405
43,5166,BAY MILLS BLVD,None,EAGLESTONE RD,None,None,HOLY SPIRIT CATHOLIC SCHOOL,2527,106992,13445636.0,2527,"{""type"": ""Point"", ""coordinates"": [-79.30354700219812, 43.78210799599855]}",-79.30354700219812,43.78210799599855
44,5169,BRIDLETOWNE CRCL,None,ECHO POINT,None,None,BRIDLETOWNE PARK,2528,105163,13443536.0,2528,"{""type"": ""Point"", ""coordinates"": [-79.31381800574506, 43.799361997703464]}",-79.31381800574506,43.799361997703464
45,5170,BEECHGROVE DR,35m NORTH OF,BETHLEY DR,None,None,None,2529,30059994,30059993.0,2529,"{""type"": ""Point"", ""coordinates"": [-79.15946600158709, 43.76953500039687]}",-79.15946600158709,43.76953500039687
46,5172,BELLAMY RD S,25m NORTH OF,GRANARD BLVD,None,None,None,2530,110860,,2530,"{""type"": ""Point"", ""coordinates"": [-79.22716999996136, 43.73822999999266]}",-79.22716999996136,43.73822999999266
47,5174,WARDEN AVE,85m NORTH,BELL ESTATE RD,None,None,None,2531,20237163,13456960.0,2531,"{""type"": ""Point"", ""coordinates"": [-79.27839400445275, 43.70577100238313]}",-79.27839400445275,43.70577100238313
48,5175,WARDEN AVE,None,FREEMAN ST,None,None,None,2532,113042,13459430.0,2532,"{""type"": ""Point"", ""coordinates"": [-79.27230299465297, 43.69109499783833]}",-79.27230299465297,43.69109499783833
49,5178,WESTON RD,None,CLOUSTON AVE,None,None,None,2533,7845,13459377.0,2533,"{""type"": ""Point"", ""coordinates"": [-79.5063789996491, 43.694710003300294]}",-79.5063789996491,43.694710003300294
50,5180,WESTON RD,None,COULTER AVE,None,None,None,2534,14627961,13457738.0,2534,"{""type"": ""Point"", ""coordinates"": [-79.52832000574739, 43.7045450038782]}",-79.52832000574739,43.7045450038782
51,5181,WESTON RD,None,DENNIS AVE,None,None,None,2535,20112929,20112930.0,2535,"{""type"": ""Point"", ""coordinates"": [-79.48544699694519, 43.68496800419238]}",-79.48544699694519,43.68496800419238
52,5186,WOODBINE AVE,None,MILVERTON BLVD,None,None,None,2536,9445986,13459937.0,2536,"{""type"": ""Point"", ""coordinates"": [-79.31418300609097, 43.68889199901795]}",-79.31418300609097,43.68889199901795
53,5187,WOODBINE AVE,None,PLAINS RD,None,None,None,2537,6620147,13458249.0,2537,"{""type"": ""Point"", ""coordinates"": [-79.31822900332288, 43.698218000025555]}",-79.31822900332288,43.698218000025555
54,5192,BRIDLETOWNE CRCL,145m NORTH OF,TIMBERBANK BLVD,None,None,TIMOTHY EATON BUSISNESS & TECH SCHOOL,2538,30104745,,2538,"{""type"": ""Point"", ""coordinates"": [-79.3120590033282, 43.79364199814765]}",-79.3120590033282,43.79364199814765
55,5193,EVANS AVE,None,CARNARVON AVE,None,None,None,2539,913499,13469816.0,2539,"{""type"": ""Point"", ""coordinates"": [-79.50374799677125, 43.620254003396035]}",-79.50374799677125,43.620254003396035
56,5194,JOHN GARLAND BLVD,25M WEST OF,FOUR LEAF DR,None,None,ST DOROTHY CATHOLIC SCHOOL,2540,907312,13453634.0,2540,"{""type"": ""Point"", ""coordinates"": [-79.59106300010995, 43.73177199566273]}",-79.59106300010995,43.73177199566273
57,5196,BENBOW RD,None,WINNIPEG RD,None,None,VALLEYFIELD JR SCHOOL,2541,908787,13459661.0,2541,"{""type"": ""Point"", ""coordinates"": [-79.53915699654685, 43.693623004448874]}",-79.53915699654685,43.693623004448874
58,5197,BENNETT RD,70m SOUTH OF,DUNSTALL CRES,None,None,WILLIAM G MILLER JR PUBLIC SCHOOL,2542,108162,,2542,"{""type"": ""Point"", ""coordinates"": [-79.16475200152531, 43.76914499896372]}",-79.16475200152531,43.76914499896372
59,5198,DUNDAS ST W,60m NORTH OF,GLENLAKE AVE,None,None,None,2543,30090627,,2543,"{""type"": ""Point"", ""coordinates"": [-79.45390600169263, 43.66038799764446]}",-79.45390600169263,43.66038799764446
60,5200,DAWES RD,None,PARK VISTA,None,None,None,2544,30106007,,2544,"{""type"": ""Point"", ""coordinates"": [-79.29705100555246, 43.698310998206864]}",-79.29705100555246,43.698310998206864
61,5201,BERNER TRL,None,GRIFFEN DR,CHEATHAM PL,None,None,2545,104970,13443347.0,2545,"{""type"": ""Point"", ""coordinates"": [-79.22433399571287, 43.79976799610488]}",-79.22433399571287,43.79976799610488
62,5202,BERRY RD,None,BALLACAINE DR,None,None,None,2546,7846174,,2546,"{""type"": ""Point"", ""coordinates"": [-79.49556300397597, 43.635700996612165]}",-79.49556300397597,43.635700996612165
63,5203,BERRY RD,None,CLOVERHILL RD,None,None,None,2547,7985486,13468682.0,2547,"{""type"": ""Point"", ""coordinates"": [-79.49071900541405, 43.636740995889305]}",-79.49071900541405,43.636740995889305
64,5204,BEVERLEY ST,None,PHOEBE ST,None,None,None,2548,14676277,13466610.0,2548,"{""type"": ""Point"", ""coordinates"": [-79.39266000150765, 43.65088699571342]}",-79.39266000150765,43.65088699571342
65,5206,BEVERLEY ST,None,GRANGE AVE,None,None,None,2549,2842441,13466303.0,2549,"{""type"": ""Point"", ""coordinates"": [-79.39343700254256, 43.6527640017857]}",-79.39343700254256,43.6527640017857
66,5207,BICKNELL AVE,None,AVON DR,None,KEELESDALE JR PUBLIC SCHOOL,None,2550,8519,13460608.0,2550,"{""type"": ""Point"", ""coordinates"": [-79.47623299930488, 43.687526997890785]}",-79.47623299930488,43.687526997890785
67,5208,BIMBROK RD,None,GADSBY DR,None,None,None,2551,110878,13451917.0,2551,"{""type"": ""Point"", ""coordinates"": [-79.25293599493297, 43.73798499631411]}",-79.25293599493297,43.73798499631411
68,5210,BIRCHMOUNT RD,None,HOLLIS AVE,None,None,None,2552,112881,13458644.0,2552,"{""type"": ""Point"", ""coordinates"": [-79.26316300239208, 43.69504900130308]}",-79.26316300239208,43.69504900130308
69,5214,BIRMINGHAM ST,None,TWENTY FIRST ST,None,None,HUMBER COLLEGE ARTS & MEDIA,2553,914478,13470482.0,2553,"{""type"": ""Point"", ""coordinates"": [-79.5212620033149, 43.599960004334896]}",-79.5212620033149,43.599960004334896
70,5216,BOND ST,75m NORTH OF,SHUTER ST,None,None,ST. MICHAEL'S CHOIR SCHOOL,2554,1144656,,2554,"{""type"": ""Point"", ""coordinates"": [-79.37786600557082, 43.65522600406545]}",-79.37786600557082,43.65522600406545
71,5217,BOULTBEE AVE,None,BLAKE ST,None,None,BLAKE ST JR PUBLIC SCHOOL,2555,1141613,13462967.0,2555,"{""type"": ""Point"", ""coordinates"": [-79.33818700464653, 43.67244999570671]}",-79.33818700464653,43.67244999570671
72,5220,BRIDLETOWNE CRCL,None,COLLINGSBROOK BLVD,None,None,None,2556,6291826,13444399.0,2556,"{""type"": ""Point"", ""coordinates"": [-79.31618699850726, 43.79229999978694]}",-79.31618699850726,43.79229999978694
73,5227,BRIMORTON DR,70m EAST OF,NEAPOLITAN DR,None,None,ST ANDREWS PUBLIC SCHOOL,2557,108579,,2557,"{""type"": ""Point"", ""coordinates"": [-79.25446000026156, 43.76613099924272]}",-79.25446000026156,43.76613099924272
74,5228,BRIMORTON DR,125m EAST OF,AMBERJACK BLVD,None,None,BELLEMERE JR PUBLIC SCHOOL,2558,108018,,2558,"{""type"": ""Point"", ""coordinates"": [-79.23462100264503, 43.771438996096386]}",-79.23462100264503,43.771438996096386
75,5229,BRIMORTON DR,None,GAITWIN PL,None,None,CHURCHILL HEIGHTS PUBLIC SCHOOL,2559,107715,13446593.0,2559,"{""type"": ""Point"", ""coordinates"": [-79.22342600505452, 43.773382998063745]}",-79.22342600505452,43.773382998063745
76,5230,BRIMWOOD BLVD,None,AMANDA DR,None,None,OUR LADY OF GRACE CATHOLIC SCHOOL,2560,103854,13442278.0,2560,"{""type"": ""Point"", ""coordinates"": [-79.27568899462639, 43.81290900265527]}",-79.27568899462639,43.81290900265527
77,5231,BRIMWOOD BLVD,None,DELBURN DR,None,None,BRIMWOOD BLVD JR P.S.,2561,103922,13442308.0,2561,"{""type"": ""Point"", ""coordinates"": [-79.27353199529213, 43.812415997987884]}",-79.27353199529213,43.812415997987884
78,5232,BROADVIEW AVE,70m NORTH OF,ALLEN AVE,None,None,None,2562,14230700,,2562,"{""type"": ""Point"", ""coordinates"": [-79.3518460001361, 43.663657002769334]}",-79.3518460001361,43.663657002769334
79,5233,BROADVIEW AVE,None,KINTYRE AVE,None,None,None,2563,1143632,13464967.0,2563,"{""type"": ""Point"", ""coordinates"": [-79.35051900364934, 43.6604740031632]}",-79.35051900364934,43.6604740031632
80,5235,BROADVIEW AVE,None,WITHROW AVE,None,None,None,2564,1142063,13463447.0,2564,"{""type"": ""Point"", ""coordinates"": [-79.35321499579604, 43.669706000121195]}",-79.35321499579604,43.669706000121195
81,5236,BROADVIEW AVE,None,WOLFREY AVE,None,None,None,2565,1141262,13462704.0,2565,"{""type"": ""Point"", ""coordinates"": [-79.35708000121414, 43.674264002364296]}",-79.35708000121414,43.674264002364296
82,5237,BROADWAY AVE,None,BRENTCLIFFE RD,RYKERT CRES,None,None,2566,7684278,13455352.0,2566,"{""type"": ""Point"", ""coordinates"": [-79.36235099545945, 43.71696900145129]}",-79.36235099545945,43.71696900145129
83,5238,BROCK AVE,None,DELANEY CRES,None,None,McCORMICK ARENA & PARK,2567,30102521,13467418.0,2567,"{""type"": ""Point"", ""coordinates"": [-79.4343649974933, 43.64662900265417]}",-79.4343649974933,43.64662900265417
84,5239,BROOKMILL BLVD,65m WEST OF,LA PEER BLVD,None,None,BROOKMILL BLVD JR PUBLIC SCHOOL,2568,30021421,,2568,"{""type"": ""Point"", ""coordinates"": [-79.3145230021258, 43.801801997930156]}",-79.3145230021258,43.801801997930156
85,5240,BURROWS HALL BLVD,None,PURVIS CRES,None,None,BURROWS HALL JR PUBLIC SCHOOL,2569,105714,13444065.0,2569,"{""type"": ""Point"", ""coordinates"": [-79.22899599755473, 43.79370700444387]}",-79.22899599755473,43.79370700444387
86,5241,CACTUS AVE,None,MOORE PARK AVE,None,None,PLEASANT AVE PUBLIC SCHOOL,2570,7157468,13444806.0,2570,"{""type"": ""Point"", ""coordinates"": [-79.43350399505083, 43.79063599834918]}",-79.43350399505083,43.79063599834918
87,5242,CALEDONIA RD,None,BOWIE AVE,None,None,None,2571,7922,13459219.0,2571,"{""type"": ""Point"", ""coordinates"": [-79.4628100034636, 43.69494199953512]}",-79.4628100034636,43.69494199953512
88,5243,CALEDONIA RD,None,CORBY AVE,None,None,None,2572,14072001,13461089.0,2572,"{""type"": ""Point"", ""coordinates"": [-79.45870299753527, 43.68465999905675]}",-79.45870299753527,43.68465999905675
89,5244,CALEDONIA RD,None,NORMAN AVE,None,None,None,2573,14015440,13462333.0,2573,"{""type"": ""Point"", ""coordinates"": [-79.45579500089455, 43.677779001362794]}",-79.45579500089455,43.677779001362794
90,5245,CALEDONIA RD,None,PLAYFAIR AVE,None,None,None,2574,9668739,13456989.0,2574,"{""type"": ""Point"", ""coordinates"": [-79.46581099906267, 43.70823699937011]}",-79.46581099906267,43.70823699937011
91,5246,CALEDONIA RD,None,INNES AVE,None,None,HUGHES PUBLIC SCHOOL,2575,14015397,13461740.0,2575,"{""type"": ""Point"", ""coordinates"": [-79.4571650006515, 43.68103300335553]}",-79.4571650006515,43.68103300335553
92,5247,CARLAW AVE,None,LANGLEY AVE,None,None,None,2576,8416824,13463405.0,2576,"{""type"": ""Point"", ""coordinates"": [-79.34363399617024, 43.66976599962105]}",-79.34363399617024,43.66976599962105
93,5248,CARLAW AVE,None,STRATHCONA AVE,None,None,WITHROW PARK,2577,1141015,13462487.0,2577,"{""type"": ""Point"", ""coordinates"": [-79.34598200470548, 43.67534099830651]}",-79.34598200470548,43.67534099830651
94,5249,CARLTON ST,20m WEST OF,BOWMAN ST,None,None,SPRUCECOURT JR PS,2578,20061848,13464223.0,2578,"{""type"": ""Point"", ""coordinates"": [-79.36383900526238, 43.665406996905126]}",-79.36383900526238,43.665406996905126
95,5251,CASSANDRA BLVD,20m EAST OF,REDWILLOW DR,None,None,CASSANDRA PUBLIC SCHOOL,2579,30100005,13450548.0,2579,"{""type"": ""Point"", ""coordinates"": [-79.32928299658533, 43.747680996143906]}",-79.32928299658533,43.747680996143906
96,5252,CEDAR DR,None,GATESVIEW AVE,None,None,None,2580,110373,13450452.0,2580,"{""type"": ""Point"", ""coordinates"": [-79.21683699662535, 43.74672300210124]}",-79.21683699662535,43.74672300210124
97,5254,CELESTINE DR,None,MOFORD CRES,None,None,FELIX-LECLERC ELEMENTARY,2581,909014,13460324.0,2581,"{""type"": ""Point"", ""coordinates"": [-79.56097099564028, 43.69012200097827]}",-79.56097099564028,43.69012200097827
98,5255,CENTENNIAL RD,None,D ARCY MAGEE CRES,None,None,ST BRENDAN CATHOLIC SCHOOL,2582,106787,13445207.0,2582,"{""type"": ""Point"", ""coordinates"": [-79.1490499980295, 43.78346400329618]}",-79.1490499980295,43.78346400329618
99,5256,CENTRAL PARK RDWY,None,CORDOVA AVE,None,None,ISLINGTON JR MIDDLE SCHOOL,2583,20044466,13467403.0,2583,"{""type"": ""Point"", ""coordinates"": [-79.52689199960075, 43.647884998120084]}",-79.52689199960075,43.647884998120084
100,5257,CHAPLIN CRES,220m WEST OF,SPADINA RD,None,None,FOREST HILL ARENA,2584,30069986,,2584,"{""type"": ""Point"", ""coordinates"": [-79.4210209991699, 43.70403099964778]}",-79.4210209991699,43.70403099964778
101,5261,CHARLOTTETOWN BLVD,6m SOUTH OF,MCCULLEY ST,None,None,CHARLOTTETOWN JR P.S.,2585,30059706,,2585,"{""type"": ""Point"", ""coordinates"": [-79.14254400611334, 43.78167699687025]}",-79.14254400611334,43.78167699687025
102,5262,CHARTLAND BLVD S,None,BRIARSCROSS BLVD,None,None,IROQUOIS JR P.S.,2586,104716,13443082.0,2586,"{""type"": ""Point"", ""coordinates"": [-79.2698199990036, 43.8032070002408]}",-79.2698199990036,43.8032070002408
103,5263,CHARTLAND BLVD S,None,SHELLAMWOOD TRL,None,None,CHARTLAND JR P.S.,2587,104983,13443360.0,2587,"{""type"": ""Point"", ""coordinates"": [-79.27819599630983, 43.80036099973296]}",-79.27819599630983,43.80036099973296
104,5266,CHRISTIE ST,None,LAMBERTLODGE AVE,None,None,None,2588,30104691,13462935.0,2588,"{""type"": ""Point"", ""coordinates"": [-79.42238300392613, 43.67383699983856]}",-79.42238300392613,43.67383699983856
105,5267,CHRISTIE ST,None,ESSEX ST,None,None,None,2589,8009337,13463865.0,2589,"{""type"": ""Point"", ""coordinates"": [-79.42029200597689, 43.66833799976059]}",-79.42029200597689,43.66833799976059
106,5268,CHRISTIE ST,None,TYRREL AVE,None,None,None,2590,14003782,13462183.0,2590,"{""type"": ""Point"", ""coordinates"": [-79.4242770016418, 43.67821799762113]}",-79.4242770016418,43.67821799762113
107,5269,CHRISTIE ST,None,YARMOUTH RD,None,None,None,2591,14012373,13463568.0,2591,"{""type"": ""Point"", ""coordinates"": [-79.42093200612237, 43.670010999580875]}",-79.42093200612237,43.670010999580875
108,5272,CLONMORE DR,None,PARKLAND RD,None,None,None,2592,113186,13460547.0,2592,"{""type"": ""Point"", ""coordinates"": [-79.28013499733295, 43.68505299672905]}",-79.28013499733295,43.68505299672905
109,5273,CLONMORE DR,None,QUEENSBURY AVE,None,None,None,2593,2271414,13459524.0,2593,"{""type"": ""Point"", ""coordinates"": [-79.27657999384606, 43.690643003251125]}",-79.27657999384606,43.690643003251125
110,5274,CLYDE AVE,None,BANNOCKBURN AVE,None,None,MONTESORI - BANNOCKBURN SCHOOL,2594,443340,13453080.0,2594,"{""type"": ""Point"", ""coordinates"": [-79.42447900169107, 43.73306800389961]}",-79.42447900169107,43.73306800389961
111,5277,CORNWALLIS DR,None,BLAISDALE RD,None,None,None,2595,109931,13449918.0,2595,"{""type"": ""Point"", ""coordinates"": [-79.27932399877484, 43.75118899962086]}",-79.27932399877484,43.75118899962086
112,5278,CORONATION DR,90m WEST OF,SHOREVIEW DR,None,None,PETER SECOR JR P.S.,2596,108815,,2596,"{""type"": ""Point"", ""coordinates"": [-79.17983399761219, 43.76292400259423]}",-79.17983399761219,43.76292400259423
113,5279,COSBURN AVE,None,LINSMORE CRES,None,None,None,2597,1405,,2597,"{""type"": ""Point"", ""coordinates"": [-79.33447300200312, 43.692737003097335]}",-79.33447300200312,43.692737003097335
114,5280,COSBURN AVE,None,LOGAN AVE,None,None,None,2598,20044957,,2598,"{""type"": ""Point"", ""coordinates"": [-79.35316699946037, 43.68856699570784]}",-79.35316699946037,43.68856699570784
115,5281,COXWELL AVE,None,EARL HAIG AVE,None,None,EARL HAIG JR PS,2599,10557913,,2599,"{""type"": ""Point"", ""coordinates"": [-79.32268199450128, 43.681148003576055]}",-79.32268199450128,43.681148003576055
116,5282,CRAIGLEE DR,None,HASLAM ST,None,None,None,2600,112502,,2600,"{""type"": ""Point"", ""coordinates"": [-79.25846200010199, 43.70543500229548]}",-79.25846200010199,43.70543500229548
117,5283,CRENDON DR,70m SOUTH OF,ULVERSTON RD,None,None,BROADACRES JR SCHOOL,2601,7515109,,2601,"{""type"": ""Point"", ""coordinates"": [-79.57230699645137, 43.64765500352171]}",-79.57230699645137,43.64765500352171
118,5284,CRESCENT RD,None,CRESCENT MOUNT PLEASANT RAMP,None,None,MOOREDALE HOUSE COMMUNITY CENTRE,2602,20145557,,2602,"{""type"": ""Point"", ""coordinates"": [-79.38045499885541, 43.67827500154077]}",-79.38045499885541,43.67827500154077
119,5285,CROW TRL,40m SOUTH OF,TUNMEAD SQ,None,None,TOM LONGBOAT JR PS,2603,104120,,2603,"{""type"": ""Point"", ""coordinates"": [-79.23236999614426, 43.81020099652406]}",-79.23236999614426,43.81020099652406
120,5286,CROW TRL,30m WEST OF,WINGARDEN CRT,None,None,ST GABRIEL LALEMONT CATHOLIC SCHOOL,2604,103863,,2604,"{""type"": ""Point"", ""coordinates"": [-79.22711400598952, 43.81202300143111]}",-79.22711400598952,43.81202300143111
