_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,ACTIVATIONDATE,SIGNALSYSTEM,NON_SYSTEM,CONTROL_MODE,PEDWALKSPEED,APS_OPERATION,NUMBEROFAPPROACHES,OBJECTID,GEO_ID,NODE_ID,AUDIBLEPEDSIGNAL,TRANSIT_PREEMPT,FIRE_PREEMPT,RAIL_PREEMPT,MI_PRINX,BICYCLE_SIGNAL,UPS,LED_BLANKOUT_SIGN,LPI_NORTH_IMPLEMENTATION_DATE,LPI_SOUTH_IMPLEMENTATION_DATE,LPI_EAST_IMPLEMENTATION_DATE,LPI_WEST_IMPLEMENTATION_DATE,LPI_COMMENT,geometry,LONGITUDE,LATITUDE
16,17,CHURCH ST,None,ADELAIDE ST E,None,None,None,1948-11-22T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,16,8313231,13466516.0,,,,,16,,,,2022-04-13T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37494600398165, 43.65118500084233]}",-79.37494600398165,43.65118500084233
17,18,CHURCH ST,None,RICHMOND ST E,None,None,None,1948-11-22T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,17,8313131,13466312.0,,,,,17,,,,2022-04-13T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37547599453892, 43.65246599556191]}",-79.37547599453892,43.65246599556191
18,19,QUEEN ST E,None,CHURCH ST,None,None,None,1983-08-24T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,18,14036376,13466199.0,1.0,1.0,,,18,,,,,,2020-08-05T04:00:00,2020-08-05T04:00:00,NS Leading Pedestrian Interval - NSWK comes up 5 seconds before NS vehicle green,"{""type"": ""Point"", ""coordinates"": [-79.37577300476386, 43.65316800144887]}",-79.37577300476386,43.65316800144887
19,20,CHURCH ST,None,SHUTER ST,None,None,None,1948-11-18T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,19,7642433,13465946.0,,,,,19,,,,2018-10-16T04:00:00,2018-10-16T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,East & West: Crosswalk,"{""type"": ""Point"", ""coordinates"": [-79.37646099976334, 43.65482900187331]}",-79.37646099976334,43.65482900187331
20,21,DUNDAS ST E,None,CHURCH ST,None,None,None,1952-12-17T05:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Fixed Time,4,20,1144608,13465671.0,1.0,1.0,,,20,,,,2022-04-13T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,2022-04-13T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37714800595033, 43.656500996264775]}",-79.37714800595033,43.656500996264775
21,22,CHURCH ST,None,GERRARD ST E,None,None,None,1941-07-18T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,21,7642005,13465140.0,1.0,,,,21,,,,2018-07-17T04:00:00,2018-07-17T04:00:00,,,East & West: Crosswalk,"{""type"": ""Point"", ""coordinates"": [-79.37853500260262, 43.65985700179503]}",-79.37853500260262,43.65985700179503
22,23,CHURCH ST,None,CARLTON ST,None,None,None,1932-02-17T05:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),None,4,22,7730328,13464821.0,,,,,22,,,1.0,2022-04-29T04:00:00,2022-04-29T04:00:00,2022-04-29T04:00:00,2022-04-29T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37937399836817, 43.6618750013235]}",-79.37937399836817,43.6618750013235
23,24,CHURCH ST,None,WELLESLEY ST E,None,None,None,1941-07-18T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,23,7731514,13464212.0,,,,,23,,,,2022-04-12T04:00:00,2022-04-12T04:00:00,2022-04-12T04:00:00,2022-04-12T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.38095900029587, 43.66572199894831]}",-79.38095900029587,43.66572199894831
24,25,BLOOR ST E,None,CHURCH ST,None,None,None,1932-02-19T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,24,6522404,13463285.0,1.0,,,,24,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38315999977524, 43.67104600126707]}",-79.38315999977524,43.67104600126707
25,26,ADELAIDE ST E,None,VICTORIA ST,None,None,None,1928-09-27T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,25,14036811,13466609.0,,,,,25,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37724499665399, 43.65066899637987]}",-79.37724499665399,43.65066899637987
26,27,VICTORIA ST,None,RICHMOND ST E,None,None,None,1927-11-03T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,3,26,6624518,13466399.0,1.0,,,,26,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37775900082354, 43.651962997434154]}",-79.37775900082354,43.651962997434154
27,28,QUEEN ST E,None,VICTORIA ST,None,None,None,1927-11-03T04:00:00,TransSuite,None,FT,0.8 m/s (FDW based on full crossing @ 1.0 m/s),Pushbutton Actuated,4,27,11272989,13466287.0,1.0,1.0,,,27,,1.0,1.0,2021-09-29T04:00:00,2021-09-29T04:00:00,2021-09-29T04:00:00,2021-09-29T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37809099757519, 43.652682002327545]}",-79.37809099757519,43.652682002327545
28,29,YONGE ST,None,FRONT ST,None,None,None,1928-08-24T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,28,1146204,13467239.0,,,,,28,,,,2020-10-08T04:00:00,2020-10-08T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37697399692091, 43.64688400103595]}",-79.37697399692091,43.64688400103595
29,30,YONGE ST,None,WELLINGTON ST,None,None,None,1964-01-06T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,29,14025299,13467080.0,1.0,,,,29,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37736999558743, 43.64784599734461]}",-79.37736999558743,43.64784599734461
30,31,YONGE ST,None,KING ST,None,None,None,1927-11-03T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,30,8677261,13466851.0,,,,,30,,,1.0,2020-10-08T04:00:00,,2020-10-08T04:00:00,2020-10-08T04:00:00,LPI implemented only for east & west crosswalks. LPI checkbox doesn't get checked unless date entered in for north or south crosswalk.,"{""type"": ""Point"", ""coordinates"": [-79.37791800251752, 43.649148000999304]}",-79.37791800251752,43.649148000999304
31,32,YONGE ST,None,ADELAIDE ST,None,None,None,1928-01-10T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,31,14036810,13466653.0,,,,,31,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37846999990198, 43.65040699747505]}",-79.37846999990198,43.65040699747505
32,33,YONGE ST,None,RICHMOND ST,None,None,None,1927-11-03T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,32,8676918,13466444.0,,,,,32,,,,2022-06-16T04:00:00,2022-06-16T04:00:00,2022-06-16T04:00:00,2022-06-16T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.37898399663129, 43.65169200071862]}",-79.37898399663129,43.65169200071862
33,34,YONGE ST,None,QUEEN ST,None,None,None,1927-11-03T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,33,11226820,13466322.0,1.0,,,,33,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37925799461387, 43.65243899807519]}",-79.37925799461387,43.65243899807519
34,35,YONGE ST,None,SHUTER ST,None,PARKING GARAGE,None,1959-03-12T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,34,7762738,13466083.0,,,,,34,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37997300564999, 43.65406200239812]}",-79.37997300564999,43.65406200239812
35,36,YONGE ST,None,DUNDAS ST,None,None,None,1927-04-04T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,35,7762832,13465714.0,1.0,,,,35,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.3809259970283, 43.65632800043037]}",-79.3809259970283,43.65632800043037
36,37,YONGE ST,None,GERRARD ST,None,None,None,1929-07-09T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,36,7730086,13465263.0,,,,,36,,,,2020-12-22T05:00:00,2020-12-22T05:00:00,2020-12-22T05:00:00,2020-12-22T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.38211700619114, 43.65909499825776]}",-79.38211700619114,43.65909499825776
37,38,YONGE ST,None,CARLTON ST,COLLEGE ST,None,None,1932-02-18T05:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,37,7754955,13464913.0,1.0,,,,37,,,1.0,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38311000015409, 43.661370999831774]}",-79.38311000015409,43.661370999831774
38,39,YONGE ST,None,WELLESLEY ST,None,None,None,1948-09-30T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,38,1143164,13464342.0,,,,,38,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38459499421623, 43.664937003378895]}",-79.38459499421623,43.664937003378895
39,40,BLOOR ST,None,YONGE ST,None,None,None,1925-08-28T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,39,10759265,13463436.0,1.0,,,,39,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38678799432049, 43.67022600337403]}",-79.38678799432049,43.67022600337403
40,41,YONGE ST,None,CHURCH ST,DAVENPORT RD,None,None,1932-12-03T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,40,8677192,13463015.0,1.0,,,,40,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38786600103273, 43.67287299700046]}",-79.38786600103273,43.67287299700046
41,42,YONGE ST,None,AYLMER AVE,BELMONT ST,None,None,1963-11-19T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,41,8680055,13462557.0,,,,,41,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38898699847613, 43.67558799897254]}",-79.38898699847613,43.67558799897254
42,43,YONGE ST,None,CRESCENT RD,None,None,None,1957-10-16T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,42,30078035,13462319.0,,,,,42,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38953099765408, 43.676962001330814]}",-79.38953099765408,43.676962001330814
43,44,YONGE ST,None,MACPHERSON AVE,ROWANWOOD AVE,None,None,1948-04-10T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,43,10759182,13461921.0,1.0,,,,43,,,,2020-10-30T04:00:00,2020-10-30T04:00:00,2020-10-30T04:00:00,2020-10-30T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.39043200083867, 43.679145003720286]}",-79.39043200083867,43.679145003720286
44,45,YONGE ST,None,SHAFTESBURY AVE,ALCORN AVE,None,None,1955-12-05T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,44,8681095,13461419.0,,,,,44,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.39155499874003, 43.68197299991637]}",-79.39155499874003,43.68197299991637
45,46,YONGE ST,None,ST CLAIR AVE,None,None,None,1927-04-05T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,45,8741191,13460295.0,1.0,1.0,,,45,,,1.0,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.39414099522072, 43.68808299899772]}",-79.39414099522072,43.68808299899772
46,47,YONGE ST,None,CHAPLIN CRES,DAVISVILLE AVE,None,None,1930-06-14T04:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,46,7273833,13458407.0,1.0,,,,46,,,,2021-08-19T04:00:00,2021-08-19T04:00:00,,,LPI on north/south crosswalk,"{""type"": ""Point"", ""coordinates"": [-79.39664199463374, 43.69830099913367]}",-79.39664199463374,43.69830099913367
47,48,YONGE ST,None,MANOR RD,None,None,None,1956-12-11T05:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,47,7274839,13457785.0,,,,,47,,,,2022-09-20T04:00:00,2022-09-20T04:00:00,2022-09-20T04:00:00,2022-09-20T04:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.39750499510848, 43.70251199963758]}",-79.39750499510848,43.70251199963758
48,49,YONGE ST,None,EGLINTON AVE,None,None,None,1929-08-21T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,48,14230407,13457078.0,1.0,,,,48,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.39836600535115, 43.70673099988518]}",-79.39836600535115,43.70673099988518
49,50,YONGE ST,None,BROADWAY AVE,MONTGOMERY AVE,None,None,1957-02-12T05:00:00,TransSuite,None,SA1,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,49,8535805,13456650.0,1.0,,1.0,,49,,,,,,2020-12-29T05:00:00,2020-12-29T05:00:00,East & West Crosswalk,"{""type"": ""Point"", ""coordinates"": [-79.39899699797695, 43.70958299928206]}",-79.39899699797695,43.70958299928206
50,51,YONGE ST,None,CASTLEFIELD AVE,None,None,None,1929-08-21T04:00:00,TransSuite,None,SAP,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,3,50,8540403,13456266.0,1.0,,,,50,,,,,,2020-05-01T04:00:00,2020-05-01T04:00:00,EW LPI,"{""type"": ""Point"", ""coordinates"": [-79.39947600373758, 43.71183800446144]}",-79.39947600373758,43.71183800446144
51,52,YONGE ST,None,BLYTHWOOD RD,LYTTON BLVD,None,None,1954-08-12T04:00:00,TransSuite,None,FT,0.9 m/s (FDW based on full crossing @ 1.1 m/s),Pushbutton Actuated,4,51,8566211,13455496.0,1.0,,,,51,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.40048100471502, 43.71660499690904]}",-79.40048100471502,43.71660499690904
52,53,YONGE ST,None,GLENGROVE AVE,None,None,None,1961-07-06T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,52,8566492,13455032.0,1.0,,,,52,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.4011409943589, 43.71954699929763]}",-79.4011409943589,43.71954699929763
53,54,YONGE ST,None,CHATSWORTH DR,ST EDMUNDS DR,None,None,1930-07-17T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,53,30089551,13454680.0,1.0,,,,53,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.4015949996667, 43.72196999633007]}",-79.4015949996667,43.72196999633007
54,55,YONGE ST,None,LAWRENCE AVE,None,None,None,1941-01-03T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,54,10133844,13454250.0,1.0,,,,54,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.40219499417361, 43.72510100030655]}",-79.40219499417361,43.72510100030655
55,56,YONGE ST,None,RANLEIGH AVE,None,None,None,1929-08-24T04:00:00,TransSuite,None,SAP,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,55,7847768,13453893.0,1.0,,,,55,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.40294300459458, 43.72783499958022]}",-79.40294300459458,43.72783499958022
56,57,YONGE ST,None,FAIRLAWN AVE,None,None,None,1956-08-29T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,56,14036751,13453356.0,1.0,,,,56,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.40371499714247, 43.7308669986985]}",-79.40371499714247,43.7308669986985
57,58,YONGE ST,None,YONGE BLVD,PRIVATE ACCESS,None,None,1955-10-12T04:00:00,TransSuite,None,SA2,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,57,3440737,13452847.0,,,,,57,,,1.0,2022-06-13T04:00:00,2022-06-13T04:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.40457299418838, 43.73436099686689]}",-79.40457299418838,43.73436099686689
58,59,BAY ST,None,FRONT ST W,None,None,None,1928-09-18T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,58,10864309,13467389.0,1.0,,,,58,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37913399618985, 43.645986996674765]}",-79.37913399618985,43.645986996674765
59,60,BAY ST,None,WELLINGTON ST W,None,None,None,1928-09-28T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,59,10224288,13467163.0,1.0,,,,59,,,,2022-02-16T05:00:00,2022-02-16T05:00:00,,,None,"{""type"": ""Point"", ""coordinates"": [-79.37972900190265, 43.647334003576276]}",-79.37972900190265,43.647334003576276
60,61,BAY ST,None,KING ST W,None,None,None,1927-11-03T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,60,8087327,13466960.0,1.0,,,,60,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38027799426453, 43.64865000319741]}",-79.38027799426453,43.64865000319741
61,62,BAY ST,None,ADELAIDE ST W,None,None,None,1928-09-26T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,61,14025268,13466743.0,,,,,61,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38081000017033, 43.6498919999844]}",-79.38081000017033,43.6498919999844
62,63,BAY ST,None,RICHMOND ST W,None,None,None,1930-12-30T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,3,62,8067832,13466536.0,,,,,62,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38133299424419, 43.651169999110465]}",-79.38133299424419,43.651169999110465
63,64,BAY ST,None,QUEEN ST W,None,None,None,1927-11-03T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),None,4,63,1145090,13466418.0,-1.0,,,,63,,,1.0,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38171800562122, 43.65189300019116]}",-79.38171800562122,43.65189300019116
64,65,BAY ST,None,ALBERT ST,None,None,None,1948-11-22T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,3,64,1145054,13466250.0,1.0,,,,64,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38264099929786, 43.65297000072569]}",-79.38264099929786,43.65297000072569
65,66,DUNDAS ST W,None,BAY ST,None,None,None,1928-06-28T04:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Fixed Time,4,65,10906585,13465822.0,1.0,1.0,,,65,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38376599653549, 43.65571499692397]}",-79.38376599653549,43.65571499692397
66,67,BAY ST,None,GERRARD ST W,None,None,None,1941-04-07T04:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,66,2854201,13465361.0,1.0,,,,66,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38489299657947, 43.658510003244125]}",-79.38489299657947,43.658510003244125
67,68,BAY ST,None,COLLEGE ST,None,None,None,1928-01-28T05:00:00,TransSuite,None,FT,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,67,7792579,13464999.0,1.0,,,,67,,,1.0,2021-02-25T05:00:00,2021-02-25T05:00:00,2021-02-25T05:00:00,2021-02-25T05:00:00,None,"{""type"": ""Point"", ""coordinates"": [-79.38585400507618, 43.66081499635072]}",-79.38585400507618,43.66081499635072
68,69,BAY ST,None,WELLESLEY ST W,None,None,None,1930-12-30T05:00:00,TransSuite,None,SA1,1.0 m/s (FDW based on full crossing @1.2m/s),Pushbutton Actuated,4,68,7754627,13464427.0,1.0,,,,68,,,,,,,,None,"{""type"": ""Point"", ""coordinates"": [-79.38718300333086, 43.664367002713796]}",-79.38718300333086,43.664367002713796
